Headline,Article,Publication,Reliability Range (Interactive MB),Bias Range (Interactive MB),Audience (Interactive MB),MB/FC Slant,Rank Number,Date Recorded,Within 24 Hours?
"Decades ago, Fidel Castro promised all a better way of life: He lied to Cubans like my parents | Opinion",https://news.yahoo.com//decades-ago-fidel-castro-promised-193132325.html,Miami Herald,,,,Left-Center,20,"July 25, 2021",TRUE
Police respond to viral video showing officer appearing to toss a baggie into man’s car,https://news.yahoo.com//police-respond-viral-video-showing-192931364.html,The Independent,,,,Left-Center,21,"July 25, 2021",TRUE
Prashant Kishor: How to win elections and influence people,https://news.yahoo.com//prashant-kishor-win-elections-influence-230248117.html,BBC,,,,Left-Center,22,"July 25, 2021",TRUE
Philip Morris International CEO said cigarettes should be banned and that the company will stop selling Marlboros in the UK within a decade,https://news.yahoo.com//philip-morris-international-ceo-said-014718006.html,Business Insider,,,,Left-Center,23,"July 25, 2021",TRUE
"Malaysia will not extend state of emergency, says law minister",https://news.yahoo.com//malaysia-not-extend-state-emergency-042039166.html,Reuters,,,,Neutral,24,"July 25, 2021",TRUE
Like a hammer hitting us in the head': Homes ablaze in California as Western wildfires rage,https://news.yahoo.com//rugged-terrain-hot-dry-conditions-145638183.html,USA TODAY,,,,Left-Center,25,"July 25, 2021",TRUE
Will Foxconn Billionaire Terry Gou’s COVID-19 Vaccine Deal Bring Taiwan Closer to China?,https://news.yahoo.com//foxconn-billionaire-terry-gou-covid-050456452.html,Time,,,,Left-Center,26,"July 25, 2021",TRUE
"The 'QAnon Shaman' is in plea negotiations after being diagnosed with mental illnesses, including schizophrenia and bipolar disorder, report says",https://news.yahoo.com//qanon-shaman-plea-negotiations-being-003139848.html,Business Insider,,,,Left-Center,27,"July 25, 2021",TRUE
The Disturbing Story Behind Tucker Carlson’s Favorite Black Cop,https://news.yahoo.com//disturbing-story-behind-tucker-carlson-002512170.html,The Daily Beast,,,,Left,28,"July 25, 2021",TRUE
How Russia is skirting ban on nationality markers at Olympics,https://news.yahoo.com//russia-skirting-ban-nationality-markers-145328540.html,The Week,,,,Left,29,"July 25, 2021",FALSE
"Fact check: Pfizer, Moderna vaccines don't pose 'any obvious safety signals' in pregnancy, study found",https://news.yahoo.com//fact-check-pfizer-moderna-vaccines-192218777.html,USA TODAY,,,,Left-Center,30,"July 25, 2021",TRUE
,,,,,,,,,
Rookie Bankers Sour on Wall Street's Pitch of Big Pay and Long Hours,https://news.yahoo.com//rookie-bankers-sour-wall-streets-120304359.html,The New York Times,,,,Left-Center,1,"July 26, 2021",TRUE
Making sense of conservatives’ sudden vaccine endorsements,https://news.yahoo.com//making-sense-of-conservatives-sudden-vaccine-endorsements-150144023.html,Yahoo News 360,,,,N/A,2,"July 26, 2021",TRUE
"Salmon for Norway, Chernobyl for Ukraine: Korean broadcaster apologizes for 'inexcusable' Olympics gaffe",https://news.yahoo.com//salmon-norway-chernobyl-ukraine-korean-175203385.html,Washington Post,,,,Left-Center,3,"July 26, 2021",TRUE
A Common Heart Problem That's Easy to Miss,https://news.yahoo.com//common-heart-problem-thats-easy-121634758.html,The New York Times,,,,Left-Center,4,"July 26, 2021",TRUE
Former Sen. Barbara Boxer assaulted and robbed,https://www.yahoo.com/gma/former-sen-barbara-boxer-assaulted-231000046.html,ABC News,,,,Left-Center,5,"July 26, 2021",TRUE
"As Delta variant spreads, so do vaccine mandates",https://news.yahoo.com//as-delta-variant-spreads-so-do-vaccine-mandates-203940945.html,Yahoo News,,,,Left-Center,6,"July 26, 2021",TRUE
"5 dead, including a sheriff's deputy, in the wake of California standoff",https://news.yahoo.com//5-dead-including-sheriffs-deputy-185030898.html,NBC News,,,,Left-Center,7,"July 26, 2021",TRUE
Lightfoot says she would 'absolutely' exclude white journalists from interviews again,https://news.yahoo.com//lightfoot-says-she-absolutely-exclude-185800767.html,Washington Examiner,,,,Right,8,"July 26, 2021",TRUE
At least 8 killed in 22-car pileup in Utah during sandstorm,https://news.yahoo.com//least-6-killed-20-car-034237225.html,Associated Press,,,,Neutral,9,"July 26, 2021",FALSE
House rejects GOP effort to seat McCarthy's choices for Jan. 6 select panel,https://news.yahoo.com//house-rejects-gop-effort-seat-235505305.html,Axios,,,,Left-Center,10,"July 26, 2021",TRUE
"Gunman kills 1, injures 3 before he is stoned to death in Fort Worth, police say",https://news.yahoo.com//gunman-kills-1-injuries-3-112345345.html,Fort Worth Star-Telegram,,,,Right-Center,11,"July 26, 2021",TRUE
California will require state and healthcare workers to show proof of vaccination or regular negative tests,https://news.yahoo.com//california-require-state-healthcare-workers-185300615.html,Washington Examiner,,,,Right,12,"July 26, 2021",TRUE
Extreme drought pushes 2 major U.S. lakes to historic lows,https://news.yahoo.com//extreme-drought-pushes-2-major-051134366.html,Axios,,,,Left-Center,13,"July 26, 2021",TRUE
Family: Last victim ID'd in Florida condo building collapse,https://news.yahoo.com//brother-last-victim-idd-florida-185004022.html,Associated Press,,,,Neutral,14,"July 26, 2021",TRUE
McCarthy makes last-ditch effort to seat GOP picks on Jan. 6 committee,https://news.yahoo.com//mccarthy-makes-last-ditch-effort-232800215.html,Washington Examiner,,,,Right,15,"July 26, 2021",TRUE
"Dad sees ex-wife and her boyfriend at son’s soccer game and kills them, Texas cops say",https://news.yahoo.com//dad-sees-ex-wife-her-231644498.html,Fort Worth Star-Telegram,,,,Right-Center,16,"July 26, 2021",TRUE
Family: Last victim identified in Florida condo building collapse,https://news.yahoo.com//family-last-victim-identified-florida-221431818.html,Yahoo News Video,,,,Questionable Source,17,"July 26, 2021",TRUE
Trump endorses Paxton over Bush in Texas attorney general race,https://news.yahoo.com//trump-endorses-paxton-over-bush-014148543.html,NBC News,,,,Left-Center,18,"July 26, 2021",TRUE
Search for missing Pennsylvania woman intensifies two weeks after she disappeared after leaving friend's house in Philadelphia,https://news.yahoo.com//search-missing-pennsylvania-woman-intensifies-235022508.html,NBC News,,,,Left-Center,19,"July 26, 2021",TRUE
This Idaho hot springs was shut down 5 years ago. It won’t reopen for at least 5 more,https://news.yahoo.com//idaho-hot-springs-shut-down-214129490.html,Idaho Statesman,,,,Neutral,20,"July 26, 2021",TRUE
"Former US Sen. Barbara Boxer assaulted, robbed in California",https://news.yahoo.com//former-us-sen-barbara-boxer-234427141.html,Associated Press,,,,Neutral,21,"July 26, 2021",TRUE
"Thousands evacuated as ""erratic"" wildfires rage in California",https://news.yahoo.com//thousands-evacuated-erratic-wildfires-rage-121355608.html,CBS News,,,,Left-Center,22,"July 26, 2021",TRUE
"NC doctor sought 2 hours of sex a month with nurse in blackmail plot, lawsuit says",https://news.yahoo.com//nc-doctor-sought-2-hours-171835508.html,Charlotte Observer,,,,Left-Center,23,"July 26, 2021",TRUE
"Scientists discover a massive field of nuclear silos in China, signaling a significant nuclear expansion in the country",https://news.yahoo.com//scientists-discover-massive-field-nuclear-044323563.html,INSIDER,,,,Left-Center,24,"July 26, 2021",TRUE
White House press secretary Jen Psaki says Biden doesn't want to 'fight' Fox News after Trump 'completely destroyed trust in media' and institutions,https://news.yahoo.com//white-house-press-sec-jen-145325598.html,Business Insider,,,,Left-Center,25,"July 26, 2021",TRUE
Australian sports writer doesn't think Naomi Osaka is Japanese enough to light Olympic torch,https://news.yahoo.com//australian-sports-writer-doesnt-think-183143436.html,NextShark,,,,N/A,26,"July 26, 2021",TRUE
McCarthy calls Reps. Cheney and Kinzinger “Pelosi Republicans” after they joined the Jan. 6 Select Committee,https://news.yahoo.com//mccarthy-calls-reps-cheney-kinzinger-182317470.html,Yahoo News Video,,,,Questionable Source,27,"July 26, 2021",TRUE
Matt Gaetz’s Future Sister-in-Law Says He’s a Gaslighting ‘Creep’,https://news.yahoo.com//matt-gaetz-future-sister-law-015752535.html,The Daily Beast,,,,Left,28,"July 26, 2021",TRUE
A Tennessee pastor has threatened to kick mask-wearing churchgoers from his congregation,https://news.yahoo.com//tennessee-pastor-threatened-kick-mask-032548354.html,INSIDER,,,,Left-Center,29,"July 26, 2021",TRUE
All About the $130 Million Mega-Yacht Where Jennifer Lopez Reportedly Celebrated Her Birthday With Ben Affleck,https://news.yahoo.com//130-million-mega-yacht-where-210240441.html,Architectural Digest,,,,Left,30,"July 26, 2021",TRUE
,,,,,,,,,
HIPAA and COVID vaccines: What Rep. Marjorie Taylor Greene and Cowboys quarterback Dak Prescott get wrong,https://news.yahoo.com//hipaa-and-covid-vaccines-what-rep-marjorie-taylor-green-and-cowboys-quarterback-dak-prescott-get-wrong-195447388.html,Yahoo News,,,,LEFT-CENTER BIAS,1,"July 27, 2021",TRUE
Europeans increasingly frustrated as White House maintains Trump-era covid travel restrictions,https://news.yahoo.com//europeans-increasingly-frustrated-white-house-131423155.html,Washington Post,,,,LEFT-CENTER BIAS,2,"July 27, 2021",TRUE
Man gets life for killing woman who mistook his car for Uber,https://news.yahoo.com//prosecutors-south-carolina-man-killed-154331331.html,Associated Press,,,,LEAST BIASED,3,"July 27, 2021",TRUE
Evangelical pastor demands churchgoers ditch their masks: 'Don't believe this delta variant nonsense',https://news.yahoo.com//evangelical-pastor-demands-churchgoers-ditch-101435205.html,Washington Post,,,,LEFT-CENTER BIAS,4,"July 27, 2021",TRUE
Here's what could happen to the Trump Organization now,https://news.yahoo.com//heres-could-happen-trump-organization-163610985.html,Washington Post,,,,LEFT-CENTER BIAS,5,"July 27, 2021",TRUE
A San Diego Zoo snow leopard was coughing. A test showed he had covid-19.,https://news.yahoo.com//san-diego-zoo-snow-leopard-214639467.html,Washington Post,,,,LEFT-CENTER BIAS,6,"July 27, 2021",FALSE
Rep. Stephanie Murphy says officers at the Capitol on Jan. 6 saved her life: 'Your actions had a profound impact on me',https://news.yahoo.com//rep-stephanie-murphy-says-officers-at-the-capitol-on-jan-6-saved-her-life-your-actions-had-a-profound-impact-on-me-174255244.html,Yahoo News,,,,LEFT-CENTER BIAS,7,"July 27, 2021",TRUE
Patients died after operations to remove objects left inside them were cancelled due to Covid,https://news.yahoo.com//patients-died-operations-remove-objects-151737182.html,The Telegraph,,,,RIGHT BIAS,8,"July 27, 2021",TRUE
Some in GOP move to kick out Cheney and Kinzinger and make shunning official,https://news.yahoo.com//gop-move-kick-cheney-kinzinger-214300698.html,Washington Examiner,,,,RIGHT BIAS,9,"July 27, 2021",TRUE
"Border Patrol Released 50,000 Migrants into U.S. without Court Date: Report",https://news.yahoo.com//border-patrol-released-50-000-193351843.html,National Review,,,,RIGHT BIAS,10,"July 27, 2021",TRUE
Placemats Make Every Day a Party,https://news.yahoo.com//placemats-every-day-party-140000466.html,Architectural Digest,,,,LEFT BIAS,11,"July 27, 2021",TRUE
"Vaccinated people infected with delta variant might be contagious, CDC says in justifying mask guidance",https://news.yahoo.com//vaccinated-people-infected-delta-variant-205200402.html,Washington Examiner,,,,RIGHT BIAS,12,"July 27, 2021",TRUE
George P. Bush learns the GOP's Trump lesson the hard way,https://news.yahoo.com//george-p-bush-learns-gops-171943529.html,The Week,,,,LEFT BIAS,13,"July 27, 2021",TRUE
"Four women were killed in a crash in the Keys. Their families deserve $12M, a jury says",https://news.yahoo.com//four-women-were-killed-crash-213838988.html,Miami Herald,,,,LEFT-CENTER BIAS,14,"July 27, 2021",TRUE
Kinzinger Defends Lack of Probe into BLM Riots During January 6 Committee Hearing,https://news.yahoo.com//kinzinger-defends-lack-probe-blm-181950692.html,National Review,,,,RIGHT BIAS,15,"July 27, 2021",TRUE
Ten hours of sleep a night and a cheat day every week – how J-Lo looks this good at 52,https://news.yahoo.com//ten-hours-sleep-night-cheat-110858080.html,The Telegraph,,,,RIGHT BIAS,16,"July 27, 2021",TRUE
Arizona audit: Republican liaison tells Insider the audit process has been 'very odd' and that he may resign,https://news.yahoo.com//arizona-audit-republican-liaison-tells-221212790.html,Business Insider,,,,LEFT-CENTER BIAS,17,"July 27, 2021",TRUE
"Biden should extend student loan payment pause and cancel $50,000 for borrowers: Schumer",https://news.yahoo.com//biden-extend-student-loan-payment-164728344.html,USA TODAY Opinion,,,,N/A,18,"July 27, 2021",TRUE
"Goddess of weightlifting' wins first gold medal for Taiwan in Tokyo, sets three Olympic records",https://news.yahoo.com//goddess-weightlifting-wins-first-gold-000557878.html,NextShark,,,,N/A,19,"July 27, 2021",TRUE
Jan. 6 rioters told Capitol Police sergeant ‘You’re not even an American’,https://news.yahoo.com//jan-6-rioters-told-capitol-180602266.html,Yahoo News Video,,,,QUESTIONABLE SOURCE,20,"July 27, 2021",TRUE
Workmen digging a well in a man's backyard discovered a $100 million windfall - a cluster of 2.5 million sapphire carats,https://news.yahoo.com//workmen-digging-well-mans-backyard-030446643.html,INSIDER,,,,LEFT-CENTER BIAS,21,"July 27, 2021",TRUE
The US military is changing the way it fights after it 'failed miserably' in a war game against an aggressive adversary who knew its playbook,https://news.yahoo.com//us-military-changing-way-fights-174619469.html,Business Insider,,,,LEFT-CENTER BIAS,22,"July 27, 2021",TRUE
"Russia's risky flybys may be attempts at 'baiting us into shooting first,' top US admiral says",https://news.yahoo.com//russias-risky-flybys-may-attempts-214923845.html,Business Insider,,,,LEFT-CENTER BIAS,23,"July 27, 2021",TRUE
DaBaby doubles down on homophobic rant with more offensive comments,https://news.yahoo.com//dababy-doubles-down-homophobic-rant-141029280.html,TheGrio,,,,LEFT BIAS,24,"July 27, 2021",TRUE
Legendary competitive eater Joey Chestnut reveals what happened to his body after he ate 76 hot dogs and buns in 10 minutes,https://news.yahoo.com//legendary-competitive-eater-joey-chestnut-214602684.html,INSIDER,,,,LEFT-CENTER BIAS,25,"July 27, 2021",TRUE
Florida Gov. Ron DeSantis Meets with Wild L.A. Vaccine Skeptic Despite Flooded Hospitals,https://news.yahoo.com//florida-gov-ron-desantis-meets-194918593.html,The Daily Beast,,,,LEFT BIAS,26,"July 27, 2021",TRUE
DC police officer Daniel Hodges says Capitol rioters tried to recruit him because he was white: 'Are you my brother?',https://news.yahoo.com//dc-police-officer-daniel-hodges-172538111.html,Business Insider,,,,LEFT-CENTER BIAS,27,"July 27, 2021",TRUE
Officer Daniel Hodges refers to pro-Trump insurrectionists who attacked him on Jan. 6 as 'terrorists',https://news.yahoo.com//officer-daniel-hodges-refers-pro-150415578.html,Business Insider,,,,LEFT-CENTER BIAS,28,"July 27, 2021",TRUE
The Tokyo Olympics are turning into NBC's worst nightmare,https://news.yahoo.com//tokyo-olympics-turning-nbcs-worst-224645954.html,LA Times,,,,LEFT-CENTER BIAS,29,"July 27, 2021",TRUE
Marjorie Taylor Greene said she was sorry for comparing mask mandates to the Holocaust. Now she's saying private businesses not letting unvaccinated people in is 'segregation.',https://news.yahoo.com//marjorie-taylor-greene-said-she-065430954.html,INSIDER,,,,LEFT-CENTER BIAS,30,"July 27, 2021",FALSE
,,,,,,,,,
Is This the End of Summer as We've Known It?,https://news.yahoo.com//end-summer-weve-known-181857950.html,The New York Times,,,,LEFT-CENTER BIAS,1,"July 28, 2021",TRUE
"Biden Hater's Banners That Town Called Obscene Can Stay Up, Court Rules",https://news.yahoo.com//biden-haters-banners-town-called-121119332.html,The New York Times,,,,LEFT-CENTER BIAS,2,"July 28, 2021",TRUE
Abhorrent': State Department to investigate swastika etched into elevator wall at the agency,https://news.yahoo.com//completely-abhorrent-state-department-investigate-190415371.html,USA TODAY,,,,LEFT-CENTER BIAS,3,"July 28, 2021",FALSE
Want a Vaccine Reservation in South Korea? Try Waiting 111 Hours.,https://news.yahoo.com//want-vaccine-reservation-south-korea-121129482.html,The New York Times,,,,LEFT-CENTER BIAS,4,"July 28, 2021",TRUE
Iowa Gov. Kim Reynolds blames unvaccinated migrants for recent Covid spike,https://news.yahoo.com//iowa-gov-kim-reynolds-blames-150800150.html,NBC News,,,,LEFT-CENTER BIAS,5,"July 28, 2021",TRUE
Republicans Are Blaming Pelosi for Jan. 6 Attack. Their Claims Don't Add Up.,https://news.yahoo.com//republicans-blaming-pelosi-jan-6-122152539.html,The New York Times,,,,LEFT-CENTER BIAS,6,"July 28, 2021",TRUE
Marilyn Manson's attorneys ask for 'Game of Thrones' actress Esmé Bianco's sexual assault claims to be thrown out because of California's statute of limitations law,https://news.yahoo.com//marilyn-mansons-attorneys-ask-game-022739670.html,INSIDER,,,,LEFT-CENTER BIAS,7,"July 28, 2021",TRUE
A TV commentator was fired for saying South Korean table tennis Olympians have eyes so 'narrow' he can't understand 'how they can see the ball',https://news.yahoo.com//tv-commentator-fired-saying-south-024904377.html,INSIDER,,,,LEFT-CENTER BIAS,8,"July 28, 2021",TRUE
"Report: Larry Nassar has spent $10,000 on himself in prison, but paid victims only $300",https://news.yahoo.com//report-larry-nassar-spent-10-000949400.html,Axios,,,,LEFT-CENTER BIAS,9,"July 28, 2021",TRUE
Hollywood actress Susan Sarandon joins protest outside AOC's office: 'We’re losing hope here that you represent us',https://news.yahoo.com//hollywood-actress-susan-sarandon-joins-005200368.html,Washington Examiner,,,,RIGHT BIAS,10,"July 28, 2021",TRUE
Here's how seawater could be answer to California's drought,https://news.yahoo.com//heres-seawater-could-answer-californias-001218097.html,KGO – San Francisco,,,,LEFT-CENTER BIAS,11,"July 28, 2021",TRUE
Florida county that's home to Disney World declares 'state of emergency' over surge in the Delta variant,https://news.yahoo.com//florida-county-thats-home-disney-222352551.html,Business Insider,,,,LEFT-CENTER BIAS,12,"July 28, 2021",TRUE
TikTok star Anthony Barajas is in intensive care and an 18-year-old is dead after a shooting at a California movie theater,https://news.yahoo.com//tiktok-star-anthony-barajas-intensive-180512510.html,INSIDER,,,,LEFT-CENTER BIAS,13,"July 28, 2021",TRUE
"An Iranian athlete left his country after being told to lose on purpose, won silver at the Olympics for Mongolia, and dedicated the medal to Israel",https://news.yahoo.com//iranian-athlete-left-country-being-151214644.html,INSIDER,,,,LEFT-CENTER BIAS,14,"July 28, 2021",TRUE
"Welcome to Miami? A weird-looking, noodle-shaped animal was just found in a canal",https://news.yahoo.com//welcome-miami-weird-looking-noodle-174825098.html,Miami Herald,,,,LEFT-CENTER BIAS,15,"July 28, 2021",TRUE
"Meet the typical Costco shopper, a 39-year-old Asian American woman earning more than $125,000 a year",https://news.yahoo.com//meet-typical-costco-shopper-39-160228099.html,Business Insider,,,,LEFT-CENTER BIAS,16,"July 28, 2021",TRUE
Ex-Missouri police chief pleads guilty to beating man who allegedly tried to drown baby,https://news.yahoo.com//ex-missouri-police-chief-pleads-010537218.html,Kansas City Star,,,,LEFT-CENTER BIAS,17,"July 28, 2021",TRUE
"A Google executive in Singapore who has 40 hours of meetings a week told us how she avoids burnout, and it includes 5 pieces of 'calendar magic'",https://news.yahoo.com//google-executive-singapore-40-hours-090258870.html,Business Insider,,,,LEFT-CENTER BIAS,18,"July 28, 2021",FALSE
A mom set a world record by delivering 9 babies. Her stomach weighed 65 pounds during pregnancy.,https://news.yahoo.com//mom-set-world-record-delivering-191103506.html,INSIDER,,,,LEFT-CENTER BIAS,19,"July 28, 2021",TRUE
Conservative YouTuber Steven Crowder said that he could 'physically feel death' several days after a 'mild lung collapse',https://news.yahoo.com//youtuber-steven-crowder-said-could-155359187.html,INSIDER,,,,LEFT-CENTER BIAS,20,"July 28, 2021",TRUE
"Astronomers see back of a black hole for first time, proving Albert Einstein was right",https://news.yahoo.com//astronomers-see-back-black-hole-141927796.html,The Telegraph,,,,RIGHT BIAS,21,"July 28, 2021",TRUE
First Asian American curve model for SI Yumi Nu speaks out about fatphobia in Asian culture,https://news.yahoo.com//first-asian-american-curve-model-002156573.html,NextShark,,,,N/A,22,"July 28, 2021",TRUE
"A YouTuber bet a physicist $10,000 that a wind-powered vehicle could travel twice as fast as the wind itself - and won",https://news.yahoo.com//youtuber-bet-physicist-10-000-120100405.html,Business Insider,,,,LEFT-CENTER BIAS,23,"July 28, 2021",TRUE
Legendary competitive eater Joey Chestnut reveals what happened to his body after he ate 76 hot dogs and buns in 10 minutes,https://news.yahoo.com//legendary-competitive-eater-joey-chestnut-214602684.html,INSIDER,,,,LEFT-CENTER BIAS,24,"July 28, 2021",FALSE
Ashton Kutcher and Mila Kunis say they don't bathe their kids every day - and a pediatrician says they're on to something,https://news.yahoo.com//ashton-kutcher-mila-kunis-dont-193204391.html,INSIDER,,,,LEFT-CENTER BIAS,25,"July 28, 2021",FALSE
Mark Zuckerberg's $23.4 million in security costs last year is more than the combined cost of keeping 10 other top execs safe,https://news.yahoo.com//facebook-spent-23-million-mark-124336342.html,Business Insider,,,,LEFT-CENTER BIAS,26,"July 28, 2021",TRUE
Steph Curry visits Ah-Sam Florists in San Mateo to support small businesses as they reopen,https://news.yahoo.com//steph-curry-visits-ah-sam-193720288.html,NextShark,,,,N/A,27,"July 28, 2021",TRUE
Ohio woman attacks elderly Asian store owners after her card was declined,https://news.yahoo.com//ohio-woman-attacks-elderly-asian-194208386.html,NextShark,,,,N/A,28,"July 28, 2021",TRUE
FAA changes definition of who qualifies as an astronaut,https://news.yahoo.com//faa-changes-definition-qualifies-astronaut-224804267.html,CBS News Videos,,,,RIGHT-CENTER BIAS,29,"July 28, 2021",TRUE
Workmen digging a well in a man's backyard discovered a $100 million windfall: a 2.5 million-carat sapphire cluster,https://news.yahoo.com//workmen-digging-well-mans-backyard-030446643.html,INSIDER,,,,LEFT-CENTER BIAS,30,"July 28, 2021",FALSE
,,,,,,,,,
"The sky is not falling': Provincetown outbreak shows vaccines work, even against Delta",https://news.yahoo.com//eight-hundred-cases-seven-hospitalizations-and-no-deaths-the-provincetown-outbreak-shows-vaccines-work-125324207.html,Yahoo News,,,,LEFT-CENTER BIAS,1,"July 30, 2021",TRUE
The Vessel attraction in N.Y.C. closes again after another suicide,https://news.yahoo.com//vessel-attraction-nyc-closes-again-203100768.html,NBC News,,,,LEFT-CENTER BIAS,2,"July 30, 2021",FALSE
Some restaurants may not survive renewed mask mandates,https://news.yahoo.com//restaurants-may-not-survive-renewed-112839796.html,Washington Post,,,,LEFT-CENTER BIAS,3,"July 30, 2021",TRUE
"Rep. Madison Cawthorn tried to board plane with gun; could face fine, status loss",https://news.yahoo.com//rep-madison-cawthorn-tried-board-005649049.html,USA TODAY,,,,LEFT-CENTER BIAS,4,"July 30, 2021",TRUE
U.S. sues Texas over Abbott order restricting transportation of undocumented immigrants,https://news.yahoo.com//u-sues-texas-over-abbott-223100254.html,NBC News,,,,LEFT-CENTER BIAS,5,"July 30, 2021",TRUE
Sarah Ferguson speaks out on Duchess Meghan and why she would marry Prince Andrew 'all over again',https://www.yahoo.com/gma/sarah-ferguson-speaks-duchess-meghan-122200394.html,Good Morning America,,,,LEFT-CENTER BIAS,6,"July 30, 2021",TRUE
Katie Ledecky won another gold medal and then laughed in the face of a reporter who asked if she was retiring,https://news.yahoo.com//katie-ledecky-won-another-gold-024540415.html,INSIDER,,,,LEFT-CENTER BIAS,7,"July 30, 2021",TRUE
Minnesota woman found beheaded on sidewalk,https://news.yahoo.com//minnesota-woman-found-beheaded-sidewalk-012700198.html,Washington Examiner,,,,RIGHT BIAS,8,"July 30, 2021",FALSE
‘Fully Moderna vaccinated’: Miami businesswoman diagnosed with breakthrough COVID,https://news.yahoo.com//fully-moderna-vaccinated-miami-businesswoman-195803545.html,Miami Herald,,,,LEFT-CENTER BIAS,9,"July 30, 2021",TRUE
"A company that owns 40 Burger Kings had to pay $459,000 to workers after it denied them sick leave, in Chicago's largest-ever labor-law fine",https://news.yahoo.com//company-owns-40-burger-kings-152000434.html,Business Insider,,,,LEFT-CENTER BIAS,10,"July 30, 2021",TRUE
"Simone Biles' ADHD medication is banned in Japan, but a Tokyo 2020 exemption allowed them for athletes",https://news.yahoo.com//simone-biles-couldnt-bring-her-185400413.html,INSIDER,,,,LEFT-CENTER BIAS,11,"July 30, 2021",TRUE
"Meet the typical Chinese millennial, who makes $22,000 a year but has no student debt, grew up in an economic boom, and has learned how to outhustle everyone else",https://news.yahoo.com//meet-typical-chinese-millennial-makes-080455153.html,INSIDER,,,,LEFT-CENTER BIAS,12,"July 30, 2021",TRUE
Baltimore Aunt Drove Car for a Year With Kids Stuffed in Trunk: Cops,https://news.yahoo.com//baltimore-aunt-drove-car-kids-203244380.html,The Daily Beast,,,,LEFT BIAS,13,"July 30, 2021",TRUE
"NFL quarterback says he was pressured to get vaccinated by league: 'If you don't fall in line, they'll make your life miserable'",https://news.yahoo.com//nfl-quarterback-says-pressured-vaccinated-211100439.html,Washington Examiner,,,,RIGHT BIAS,14,"July 30, 2021",FALSE
The wife of the slain Haitian president said she survived the attack because the assassins thought they'd killed her already,https://news.yahoo.com//wife-slain-haiti-president-said-121018906.html,Business Insider,,,,LEFT-CENTER BIAS,15,"July 30, 2021",TRUE
Former soccer star Wayne Rooney apologizes to family and team he's coaching after photos of private party surfaced on social media,https://news.yahoo.com//former-soccer-star-wayne-rooney-073002344.html,INSIDER,,,,LEFT-CENTER BIAS,16,"July 30, 2021",TRUE
South Korean archer An San gets support after receiving sexist comments about her hairstyle,https://news.yahoo.com//south-korean-archer-san-gets-165609494.html,NextShark,,,,N/A,17,"July 30, 2021",TRUE
HUD PAVEs the way to tackle home appraisal discrimination,https://news.yahoo.com//hud-paves-way-tackle-home-043230759.html,KGO – San Francisco,,,,LEFT-CENTER BIAS,18,"July 30, 2021",TRUE
"Family has baby shower for pregnant 12-year-old, her accused rapist, Oklahoma cops say",https://news.yahoo.com//family-baby-shower-pregnant-12-204659487.html,Kansas City Star,,,,LEFT-CENTER BIAS,19,"July 30, 2021",FALSE
Man dies after he and wife are struck by lightning during family vacation in Florida,https://news.yahoo.com//man-dies-wife-struck-lightning-214100805.html,Washington Examiner,,,,RIGHT BIAS,20,"July 30, 2021",TRUE
"Jalen Green makes history as highest-drafted Asian American player, third Filipino player in NBA",https://news.yahoo.com//jalen-green-makes-history-highest-213100619.html,NextShark,,,,N/A,21,"July 30, 2021",TRUE
"Stepfather of the Texas firefighter found dead in Cancún says his actions were 'out of character,' as other family suggest he was killed",https://news.yahoo.com//stepfather-texas-firefighter-found-dead-113342064.html,INSIDER,,,,LEFT-CENTER BIAS,22,"July 30, 2021",TRUE
People on social media can't get enough of silver medalist Japanese surfer Kanoa Igarashi,https://news.yahoo.com//people-social-media-cant-enough-220320380.html,NextShark,,,,N/A,23,"July 30, 2021",TRUE
White former police officer avoids potential death sentence by pleading guilty to murdering Black woman he dated,https://news.yahoo.com//white-former-police-officer-avoids-213304856.html,INSIDER,,,,LEFT-CENTER BIAS,24,"July 30, 2021",TRUE
Newsom predicts ‘profound consequences’ for Democrats nationwide if he loses recall election,https://news.yahoo.com//newsom-predicts-profound-consequences-democrats-213200762.html,Washington Examiner,,,,RIGHT BIAS,25,"July 30, 2021",TRUE
"Costco's typical shopper is a 39-year-old Asian American woman earning over $125K a year, report says",https://news.yahoo.com//costcos-typical-shopper-39-old-194123200.html,NextShark,,,,N/A,26,"July 30, 2021",TRUE
"10-year-old girl helps brother, grandma escape Kentucky home as intruder breaks in",https://news.yahoo.com//10-old-girl-helps-brother-180117566.html,Lexington Herald-Leader,,,,LEFT-CENTER BIAS,27,"July 30, 2021",TRUE
India men near return to field hockey glory with Olympic run,https://news.yahoo.com//india-men-near-return-field-142222779.html,Associated Press,,,,LEAST BIASED,28,"July 30, 2021",TRUE
A missile race is heating up all across Asia,https://news.yahoo.com//missile-race-heating-across-asia-161819752.html,Business Insider,,,,LEFT-CENTER BIAS,29,"July 30, 2021",TRUE
"States that cut off unemployment early, like Idaho, see no hiring boom, at least not yet",https://news.yahoo.com//states-cut-off-unemployment-early-190604905.html,Idaho Statesman,,,,LEAST BIASED,30,"July 30, 2021",TRUE
